id,split,category,question_type,question,expected_document,expected_section,expected_topic,difficulty,evaluation_mode,notes
14,test,attestation,exact,"Что считается асинхронным элементом контроля?",ПОПАТКУС,Используемые понятия и сокращения,асинхронный элемент контроля,medium,auto,
15,test,attestation,typo,"Скок попыток пересдачи если не сдал предмет?",ПОПАТКУС,Организация сессии и оформление результатов промежуточной аттестации,количество пересдач,hard,auto,опечатка и разговорная форма
16,test,attestation,scenario,"Что будет, если студент пропустил пересдачу без уважительной причины?",ПОПАТКУС,Организация сессии и оформление результатов промежуточной аттестации,неявка на пересдачу,hard,auto,
17,test,attestation,scenario,"Можно ли досрочно пересдать экзамен до периода пересдач?",ПОПАТКУС,Организация сессии и оформление результатов промежуточной аттестации,досрочная пересдача,medium,auto,
18,test,attestation,abbreviation,"Что такое КУД?",ПОПАТКУС,Заключительные положения,показатель качества учебной деятельности,hard,auto,
19,validation,internal_rules,exact,"На кого распространяются правила внутреннего распорядка обучающихся?",ПВРО 2024,ОБЩИЕ ПОЛОЖЕНИЯ,сфера действия правил,easy,auto,
20,validation,internal_rules,paraphrase,"Что обязаны соблюдать обучающиеся в университете?",ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,обязанности обучающихся,medium,auto,
21,validation,internal_rules,exact,"Что считается плагиатом по правилам ВШЭ?",ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,плагиат,medium,auto,
22,validation,internal_rules,exact,"Что считается списыванием?",ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,списывание,medium,auto,
23,validation,internal_rules,scenario,"Можно ли передавать свой электронный пропуск другому человеку?",ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,электронный пропуск,medium,auto,
24,validation,internal_rules,exact,"Какие меры дисциплинарного взыскания могут применяться к обучающемуся?",ПВРО 2024,ДИСЦИПЛИНАРНАЯ ОТВЕТСТВЕННОСТЬ ОБУЧАЮЩИХСЯ,дисциплинарные меры,easy,auto,
25,validation,internal_rules,exact,"За что студента могут поощрять?",ПВРО 2024,ПООЩРЕНИЕ ОБУЧАЮЩИХСЯ,поощрение обучающихся,easy,auto,
26,validation,internal_rules,exact,"Что запрещено на территории университета?",ПВРО 2024,ПОРЯДОК В ЗДАНИЯХ УНИВЕРСИТЕТА,запреты на территории университета,easy,auto,
27,test,internal_rules,exact,"Правила внутреннего распорядка — это какой тип документа?",ПВРО 2024,ОБЩИЕ ПОЛОЖЕНИЯ,локальный нормативный акт,medium,auto,
28,test,internal_rules,paraphrase,"Где публикуют правила и изменения к ним?",ПВРО 2024,ОБЩИЕ ПОЛОЖЕНИЯ,публикация правил,medium,auto,
29,test,internal_rules,scenario,"Какие дополнительные правила действуют для тех, кто живет в общежитии?",ПВРО 2024,ОБЩИЕ ПОЛОЖЕНИЯ,правила общежития,medium,auto,
30,test,internal_rules,typo,"Что будет если нарушить внутренний распорядок?",ПВРО 2024,ДИСЦИПЛИНАРНАЯ ОТВЕТСТВЕННОСТЬ ОБУЧАЮЩИХСЯ,последствия нарушения правил,medium,auto,
31,test,internal_rules,exact,"Что такое подлог в учебной работе?",ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,подлог,medium,auto,
32,test,internal_rules,exact,"Что считается фабрикацией данных в учебной или научной работе?",ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,фабрикация данных,hard,auto,
33,test,internal_rules,scenario,"Что должен сделать студент, если пропускает занятия по уважительной причине?",ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,уведомление о пропуске,medium,auto,
34,test,internal_rules,scenario,"Нужно ли показывать студенческий билет или пропуск по требованию охраны?",ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,предъявление документов,medium,auto,
35,test,internal_rules,exact,"Кто определяет порядок допуска обучающихся в здания университета?",ПВРО 2024,ПОРЯДОК В ЗДАНИЯХ УНИВЕРСИТЕТА,порядок допуска в здания,easy,auto,
36,test,internal_rules,exact,"Какие формы поощрения предусмотрены для обучающихся?",ПВРО 2024,ПООЩРЕНИЕ ОБУЧАЮЩИХСЯ,формы поощрения,medium,auto,
37,validation,charter,exact,"Кто является учредителем и собственником имущества университета?",Ustav_01.02.2016-2,I. Общие положения,учредитель и собственник имущества,easy,auto,
38,validation,charter,exact,"Где находится университет?",Ustav_01.02.2016-2,I. Общие положения,место нахождения университета,easy,auto,
39,validation,charter,exact,"Какие сокращенные наименования есть у НИУ ВШЭ?",Ustav_01.02.2016-2,I. Общие положения,сокращенные наименования,easy,auto,
40,validation,charter,paraphrase,"Какие органы управления есть у университета?",Ustav_01.02.2016-2,IV. Организация деятельности и управление университетом,органы управления,medium,auto,
41,validation,charter,exact,"Кто назначает ректора университета?",Ustav_01.02.2016-2,I. Общие положения,назначение ректора,medium,auto,
42,validation,charter,exact,"На какой срок формируется наблюдательный совет?",Ustav_01.02.2016-2,IV. Организация деятельности и управление университетом,срок полномочий наблюдательного совета,medium,auto,
43,validation,charter,exact,"В чем заключается автономия университета?",Ustav_01.02.2016-2,IV. Организация деятельности и управление университетом,автономия университета,medium,auto,
44,validation,charter,exact,"Какая конференция считается коллегиальным органом управления?",Ustav_01.02.2016-2,IV. Организация деятельности и управление университетом,конференция работников и обучающихся,medium,auto,
45,test,charter,exact,"Что может делать университет как юридическое лицо?",Ustav_01.02.2016-2,I. Общие положения,правоспособность юридического лица,medium,auto,
46,test,charter,exact,"Кто утверждает устав университета и изменения к нему?",Ustav_01.02.2016-2,I. Общие положения,утверждение устава,medium,auto,
47,test,charter,scenario,"Кто принимает решение о создании или ликвидации филиалов?",Ustav_01.02.2016-2,I. Общие положения,создание и ликвидация филиалов,hard,auto,
48,test,charter,exact,"Кто не может быть избран председателем наблюдательного совета?",Ustav_01.02.2016-2,IV. Организация деятельности и управление университетом,председатель наблюдательного совета,medium,auto,
49,test,charter,exact,"Что рассматривает наблюдательный совет по крупным сделкам?",Ustav_01.02.2016-2,IV. Организация деятельности и управление университетом,крупные сделки,hard,auto,
50,test,charter,exact,"Кому принадлежит имущество университета?",Ustav_01.02.2016-2,VII. Экономика университета,федеральная собственность,easy,auto,
51,test,charter,paraphrase,"На каком праве университет использует закрепленное за ним имущество?",Ustav_01.02.2016-2,VII. Экономика университета,право оперативного управления,medium,auto,
52,test,charter,exact,"Из каких источников формируется имущество университета?",Ustav_01.02.2016-2,VII. Экономика университета,источники формирования имущества,medium,auto,
53,test,charter,exact,"За счет чего финансируется деятельность университета?",Ustav_01.02.2016-2,VII. Экономика университета,источники финансирования,medium,auto,
54,test,charter,exact,"Какие основные категории работников есть в университете?",Ustav_01.02.2016-2,VIII. Работники университета,категории работников,medium,auto,
55,analysis,boundary,boundary,"Что будет, если студент нарушил правила во время экзамена?",ambiguous,,дисциплинарные и учебные последствия,hard,manual,"может тянуться и к ПВРО, и к ПОПАТКУС"
56,analysis,boundary,boundary,"Где написано, что студенту нельзя пользоваться шпаргалками?",ambiguous,,академическая честность и правила контроля,hard,manual,пересечение ПВРО и ПОПАТКУС
57,analysis,boundary,boundary,"Кто отвечает за порядок и дисциплину в университете?",ambiguous,,управление и внутренний распорядок,hard,manual,может смешивать устав и правила
58,analysis,boundary,boundary,"Что будет, если я не пришел на аттестацию?",ambiguous,,неявка и последствия,hard,manual,требует контекст о причине пропуска
59,analysis,boundary,boundary,"Кто может изменить правила университета?",ambiguous,,изменение локальных актов и полномочия органов,hard,manual,граница между уставом и ПВРО
60,analysis,boundary,boundary,"Где искать информацию о поощрениях и взысканиях студента?",ambiguous,,поощрения и взыскания,medium,manual,может тянуться сразу к нескольким документам
